fault_id,news_id,Cable,Region,Fault Location,Date of Fault,Date of Repair,Repair duration (Days),Fault Cause,Category,Category from news articles,Final Inferred Category
49,49,West Africa Cable System (WACS),Africa,off the coast of Côte d'Ivoire,2024-03-14,2024-04-29,46, ,,Environmental,Environmental
50,50,SEACOM/Tata TGN-Eurasia,Africa,between Kenya and Egypt,2024-02-24,2024-07-23,150, ,,Geopolitical,Geopolitical
51,51,Asia Africa Europe-1 (AAE-1),Europe-Asia,between Jeddah in Saudi Arabia and Djibouti in East Africa,2024-02-15,2024-07-12,148, ,,,
52,52,Europe India Gateway (EIG),Europe-Asia,between Jeddah in Saudi Arabia and Djibouti in East Africa,2024-02-15,2024-07-23,159, ,,,
53,53,Honotua,Oceania, ,2024-02-02,2024-02-12,10, ,,,
54,54,HDR2, , ,2024-01-04,n.a.,n.a., ,,,
55,55,AEC-1,Trans-Atlantic,"off Belmullet, county Mayo (Ireland)",2023-11-16,n.a.,n.a., ,,,
56,56,Far East Submarine Cable System,Asia,near Ust'-Bol'sheretsk,2023-11-15,2023-11-16,1, ,,,
57,57,Baltic Sea Submarine Cable,Europe,happened at a similar time and in physical proximity ... to the damage that was previously reported to a gas pipeline between Estonia and Finland and a telecommunications cable between Estonia and Finland',2023-10-08,n.a.,n.a., ,,,
58,58,Baltica,Europe,external influence',2023-10-07,2023-11-13,37, ,,,
59,59,Sakhalin-Kuril Islands Cable,Asia, ,2023-10-07,n.a.,n.a., ,,,
60,60,Concerto,Europe,"in the North sea, within the UK EEZ",2023-10-01,n.a.,n.a., ,,,
61,61,Asia Africa Europe-1 (AAE-1),Europe-Asia, ,2023-09-27,2023-11-30,64, ,,,
70,70,Asia Pacific Gateway (APG),Asia,"S7 branch, 206km from Da Nang",2023-04-22,2023-06-29,68, ,,,
72,72,South America-1 (SAm-1),Latin America,30km off the coast of Bahia,2023-03-04,2023-04-04,31, ,,,
73,73,SeaMeWe-3,Europe-Asia,S2.7 segent conencting Vietnam to Singapore,2023-02-22,2023-05-03,70, ,,Aging,Aging
74,74,Taiwan Penghu Kinmen Matsu no.2 (TPKM2),Asia,around 40km from 'Matsu-Nangan computer room',2023-02-08,n.a.,n.a., ,,,
76,76,Tata TGN-Intra Asia (TGN-IA),Asia,about 130 km from a landing station in Singapore,2023-01-28,2023-05-03,95, ,,,
78,78,Asia-America Gateway (AAG) Cable System,Trans-Pacific,S1G branch,2023-01-15,2023-05-31,136, ,,,
79,79,Asia-America Gateway (AAG) Cable System,Trans-Pacific,S1I branch,2022-12-27,2023-05-24,148, ,,,
80,80,Asia Pacific Gateway (APG),Asia,"S6 branch, off Hong Kong landing station",2022-12-26,2023-05-31,156, ,,,
82,82,SeaMeWe-5,Europe-Asia,terrestrial section in Egypt,2022-10-29,n.a.,n.a., ,,,
86,86,Asia Pacific Gateway (APG),Asia,S9 segment to Sigapore,2022-09-15,2022-11-14,60, ,,,
87,87,IMEWE,Europe-Asia,between Alexandria and Marseille,2022-09-12,n.a.,n.a.,malfunction',,Aging,Aging
91,91,SeaMeWe-5,Europe-Asia,at the junction of the Suez Canal and the Mediterranean Sea near Egypt,2022-08-11,n.a.,n.a., ,,Human Activity,Human Activity
92,92,Asia Pacific Gateway (APG),Asia,"S3 branch, 427km from China",2022-07-26,n.a.,n.a., ,,Aging,Aging
93,93,Asia-America Gateway (AAG) Cable System,Trans-Pacific,S1B and S1D segments,2022-06-30,n.a.,n.a., ,,,
94,94,Asia-America Gateway (AAG) Cable System,Trans-Pacific,S1H and S1I segments (near Hong Kong),2022-06-30,2022-09-15,77, ,,,
98,98,SMPCS Packet-2,Asia,289km from the Merauke landing station,2022-03-27,n.a.,n.a., ,,,
102,102,Tata TGN-Intra Asia (TGN-IA),Asia, ,2022-02-25,2022-02-27,2, ,,,
109,109,SeaMeWe-4,Europe-Asia,in the Indian Ocean,2022-01-13,n.a.,n.a., ,,Aging,Aging
111,111,Africa Coast to Europe (ACE),Africa,off the coast of Gambia,2022-01-04,2022-01-22,18, ,,,
112,112,Asia Submarine-cable Express (ASE)/Cahaya Malaysia,Asia, ,2021-12-27,n.a.,n.a., ,,,
114,114,Asia Pacific Gateway (APG),Asia,125km from Hong Kong CLS,2021-12-13,2022-02-27,76, ,,,
115,115,Asia-America Gateway (AAG) Cable System,Trans-Pacific,branch between Vietnam and Singapore,2021-10-31,2021-12-29,59, ,,Aging,Aging
116,116,Asia Pacific Gateway (APG),Asia,S3 segment,2021-10-29,2021-11-27,29, ,,,
118,118,Asia Africa Europe-1 (AAE-1),Europe-Asia,"near Fujairah, UAE",2021-10-11,2021-10-12,1, ,,Human Activity,Human Activity
119,119,JASUKA,Asia,1.5km off the Batam coast,2021-09-20,2021-10-06,16, ,,,
120,120,Asia Africa Europe-1 (AAE-1),Europe-Asia,S1H.4 section,2021-09-07,2021-11-25,79, ,,Aging,Aging
121,121,Asia Africa Europe-1 (AAE-1),Europe-Asia,S1H.3 segment between Vietnam and Singapore,2021-09-04,2021-11-20,77, ,,Aging,Aging
124,124,Asia-America Gateway (AAG) Cable System,Trans-Pacific, ,2021-07-02,2021-07-17,15, ,,,
125,125,Asia-America Gateway (AAG) Cable System,Trans-Pacific,"Off Vung Tau,Vietnam",2021-06-22,2021-07-02,10, ,,,
126,126,Asia Africa Europe-1 (AAE-1),Europe-Asia,Off Vietnam,2021-05-25,2021-07-01,37, ,,,
128,128,SMPCS Packet-2,Asia,"Off Jayapura, Indonesia",2021-04-30,n.a.,n.a., ,,,
129,129,Pan European Crossing (UK-Ireland),Europe, ,2021-03-21,n.a.,n.a., ,,,
130,130,Trans-Pacific Express (TPE) Cable System,Trans-Pacific,"Between Tamsui, Taiwan and Chongming, China",2021-03-01,n.a.,n.a., ,,,
131,131,B2JS (Jakarta-Bangka-Batam-Singapore) Cable System,Asia,"Between Ancol and Bangka, Indonesia",2021-02-22,n.a.,n.a., ,,,
132,132,SeaMeWe-5,Europe-Asia,Off France,2021-02-18,n.a.,n.a., ,,Human Activity,Human Activity
133,133,SeaMeWe-4,Europe-Asia,"Off Abu Talat, Egypt",2021-02-16,n.a.,n.a., ,,Human Activity,Human Activity
134,134,IMEWE,Europe-Asia, ,2021-02-11,n.a.,n.a., ,,Aging,Aging
135,135,Africa Coast to Europe (ACE),Africa,"Off Brikama, Gambia",2021-02-09,2021-02-09,0, ,,,
136,136,Asia Pacific Gateway (APG),Asia,Between Hong Kong and Japan,2021-01-09,2021-02-24,46, ,,,
137,137,Africa Coast to Europe (ACE),Africa, ,2021-01-02,n.a.,n.a., ,,,
138,138,Tata TGN-Intra Asia (TGN-IA),Asia,Off Singapore,2021-01-01,2021-02-25,55, ,,,
140,140,i2i Cable Network (i2icn),Asia, ,2020-10-26,2020-10-31,5, ,,,
141,141,Eastern Africa Submarine System (EASSy),Africa,Off Somalia,2020-10-17,2020-10-22,5, ,,,
142,142,COBRAcable,Europe,Between Denmark and Netherlands,2020-09-30,2021-01-08,100, ,,,
143,143,Asia-America Gateway (AAG) Cable System,Trans-Pacific,"Off Vungtau, Vietnam",2020-09-25,2020-09-30,5, ,,,
144,144,Djibouti Africa Regional Express 1 (DARE1),Africa,"Off Mogadishu, Somalia",2020-09-15,2020-09-20,5, ,,,
145,145,Maya-1,Latin America,Off Florida,2020-09-13,n.a.,n.a., ,,,
146,146,High-capacity Undersea Guernsey Optical-fibre (HUGO),Europe,"Off Porthcurno beach, United Kingdom",2020-08-26,2020-09-07,12, ,,,
148,148,Atlantic Crossing-1 (AC-1),Trans-Atlantic,"Off Sylt island, Germany",2020-07-07,2020-07-16,9, ,,,
149,149,Asia Africa Europe-1 (AAE-1),Europe-Asia,Off Hong Kong,2020-06-03,2020-06-07,4, ,,,
150,150,Asia Pacific Gateway (APG),Asia,Between Vietnam and Singapore,2020-05-23,2020-06-27,35, ,,Aging,Aging
151,151,Africa Coast to Europe (ACE),Africa, ,2020-05-19,2020-05-25,6, ,,,
153,153,Asia-America Gateway (AAG) Cable System,Trans-Pacific, ,2020-05-14,2020-06-04,21, ,,,
154,154,Indigo-West,Oceania, ,2020-05-09,2020-05-13,4, ,,,
155,155,Kumul Domestic Submarine Cable System,Asia, ,2020-05-07,2020-05-29,22, ,,,
156,156,MedNautilus Submarine System,Mediterranean,Mamara Sea,2020-05-02,2020-05-07,5, ,,,
157,157,Europe India Gateway (EIG),Europe-Asia, ,2020-04-28,2020-05-19,21, ,,,
158,158,Europe India Gateway (EIG),Europe-Asia,Between Portugal & Gibraltar,2020-04-28,2020-05-20,22, ,,,
159,159,APCN-2,Asia,"Between Hong Kong and Chongming, China",2020-04-09,2020-04-11,2, ,,Human Activity,Human Activity
160,160,SeaMeWe-4,Europe-Asia,"Off Suez, Egypt",2020-04-08,2020-04-11,3, ,,,
161,161,SeaMeWe-4,Europe-Asia,"Off Sardinia, Italy",2020-04-06,2020-04-11,5, ,,,
163,163,TAT-14,Trans-Atlantic,"Off Katwijk, Netherlands",2020-04-03,2020-04-15,12, ,,,
164,164,Asia-America Gateway (AAG) Cable System,Trans-Pacific, ,2020-04-02,2020-04-21,19, ,,,
165,165,Swansea-Brean,Europe, ,2020-04-01,2020-04-03,2, ,,,
166,166,Tata TGN-Western Europe,Europe, ,2020-03-29,2020-04-03,5, ,,,
167,167,SeaMeWe-3,Europe-Asia,Off Algeria,2020-03-28,2020-03-31,3, ,,,
168,168,West Africa Cable System (WACS),Africa, ,2020-03-27,2020-04-03,7, ,,Human Activity,Human Activity
169,169,Pan-American Crossing (PAC),Latin America,Off Costa Rica,2020-03-21,2020-04-10,20, ,,,
170,170,SAT-3/WASC,Africa,"Off Muanda, Congo, Dem. Rep.",2020-03-11,2020-03-30,19, ,,Human Activity,Human Activity
171,171,Africa Coast to Europe (ACE),Africa, ,2020-03-06,2020-03-17,11, ,,,
172,172,Africa Coast to Europe (ACE),Africa, ,2020-02-27,n.a.,n.a., ,,,
173,173,SEACOM/Tata TGN-Eurasia,Africa, ,2020-02-20,2020-02-26,6, ,,,
174,174,TAT-14,Trans-Atlantic,"Off Katwijk, Netherlands",2020-02-08,2020-02-08,0, ,,,
175,175,West Africa Cable System (WACS),Africa,"Off Muanda, Congo, Dem. Rep.",2020-01-23,2020-02-06,14, ,,Human Activity,Human Activity
176,176,West Africa Cable System (WACS),Africa,Off Ghana,2020-01-16,2020-02-26,41, ,,Human Activity,Human Activity
177,177,SAT-3/WASC,Africa, ,2020-01-16,2020-02-18,33, ,,Environmental,Environmental
178,178,West Africa Cable System (WACS),Africa, ,2020-01-16,2020-02-14,29, ,,Human Activity,
182,182,SeaMeWe-4,Europe-Asia, ,2019-10-29,2019-10-30,1, ,,,
183,183,FLAG Europe-Asia (FEA),Europe-Asia,Gibraltar Straits,2019-10-23,2019-10-29,6, ,,,
184,184,SEACOM/Tata TGN-Eurasia,Africa,"Between Mombasa, Kenya and Zafarana, Egypt",2019-10-22,2019-10-23,1, ,,Human Activity,Human Activity
185,185,SeaMeWe-3,Europe-Asia,Off Singapore,2019-10-16,2019-10-27,11, ,,Aging,Aging
186,186,SeaMeWe-3,Europe-Asia,Bay of Biscay,2019-09-27,2019-10-08,11, ,,,
187,187,Atlas Offshore,Mediterranean,Gibraltar Straits,2019-09-09,2019-09-19,10, ,,,
188,188,Asia-America Gateway (AAG) Cable System,Trans-Pacific,"Off Vung Tau, Vietnam",2019-08-15,2019-09-11,27, ,,Aging,Aging
189,189,Asia Pacific Gateway (APG),Asia,"Off Danang, Vietnam",2019-05-27,2019-06-07,11, ,,Aging,Aging
190,190,Greenland Connect North,Other, ,2019-05-05,2019-08-22,109, ,,Human Activity,Human Activity
191,191,Asia Pacific Gateway (APG),Asia, ,2019-04-24,2019-04-27,3, ,,,
192,192,Asia Pacific Gateway (APG),Asia,"Off Hong Kong, China",2019-02-27,2019-04-10,42, ,,,
193,193,Greenland Connect North,Other,"Between Sisimiut, Greenland and Maniitsoq, Greenland",2019-01-21,2019-03-14,52, ,,Aging,Aging
194,194,Tonga Cable,Oceania, ,2019-01-20,2019-02-02,13, ,,Human Activity,Human Activity
195,195,Tata TGN-Intra Asia (TGN-IA),Asia, ,2019-01-10,2019-02-09,30, ,,,
196,196,Greenland Connect,Europe, ,2018-12-28,2019-05-14,137, ,,,
197,197,SeaMeWe-3,Europe-Asia, ,2018-12-13,2018-12-13,0, ,,Human Activity,Human Activity
198,198,Australia-Singapore Cable (ASC),Oceania, ,2018-12-13,2019-01-01,19, ,,,
200,200,West Africa Cable System (WACS),Africa, ,2018-09-24,n.a.,n.a., ,,Human Activity,Human Activity
201,201,SeaMeWe-3,Europe-Asia,"Between Mumbai, India and Singapore",2018-09-19,2018-09-19,0, ,,Human Activity,Human Activity
203,203,Asia-America Gateway (AAG) Cable System,Trans-Pacific, ,2018-05-22,2018-06-04,13, ,,,
204,204,SeaMeWe-3,Europe-Asia, ,2018-05-11,2018-06-01,21, ,,Aging,Aging
205,205,Asia-America Gateway (AAG) Cable System,Trans-Pacific, ,2018-04-29,n.a.,n.a., ,,,
206,206,Asia Pacific Gateway (APG),Asia,"Off Chongming, China",2018-04-23,2018-04-25,2, ,,Human Activity,Human Activity
207,207,Africa Coast to Europe (ACE),Africa,"Off Noukachott, Mauritania",2018-03-30,2018-04-10,11, ,,Human Activity,Human Activity
208,208,Basslink,Oceania, ,2018-03-28,2018-06-05,69, ,,Human Activity,Human Activity
209,209,Asia Pacific Gateway (APG),Asia,Between Hong Kong and Vietnam,2018-02-27,2018-04-10,42, ,,Human Activity,Human Activity
210,210,Bharat Lanka Cable System,Asia,"5.8 km off Tuticorin, India",2018-02-01,n.a.,n.a., ,,,
211,211,Apollo,Trans-Atlantic, ,2018-01-28,2018-02-01,4, ,,,
212,212,Asia-America Gateway (AAG) Cable System,Trans-Pacific, ,2018-01-09,2018-01-23,14, ,,,
213,213,Asia Pacific Gateway (APG),Asia, ,2017-12-27,2017-12-30,3, ,,,
214,214,Asia-America Gateway (AAG) Cable System,Trans-Pacific,"Off Vung Tau, Vietnam",2017-11-07,2017-12-31,54, ,,Aging,Aging
215,215,Asia-America Gateway (AAG) Cable System,Trans-Pacific,Off Hong Kong ,2017-10-12,2017-10-24,12, ,,Aging,Aging
216,216,SeaMeWe-3,Europe-Asia, ,2017-10-10,2017-10-20,10, ,,Aging,Aging
221,221,IMEWE,Europe-Asia,Off Saudi Arabia,2017-08-05,2017-08-06,1, ,,Aging,Aging
222,222,SAT-3/WASC,Africa,"Off Melkbosstrand, South Africa",2017-07-12,n.a.,n.a., ,,Human Activity,Human Activity
223,223,Transworld (TW1),Middle East, ,2017-07-05,n.a.,n.a., ,,,
224,224,SeaMeWe-4,Europe-Asia, ,2017-07-05,n.a.,n.a., ,,Aging,Aging
226,226,Asia Pacific Gateway (APG),Asia, ,2017-06-20,n.a.,n.a., ,,,
229,229,APCN-2,Asia, ,2017-04-22,2017-05-08,16, ,,,
230,230,APCN-2,Asia,Off Malaysia,2017-04-11,2017-04-11,0, ,,,
231,231,SEACOM/Tata TGN-Eurasia,Africa,Off Djibouti,2017-04-08,2017-05-24,46, ,,,
232,232,Tata TGN-Intra Asia (TGN-IA),Asia, ,2017-03-04,2017-03-25,21, ,,,
233,233,APCN-2,Asia, ,2017-02-21,2017-03-09,16, ,,,
234,234,Asia-America Gateway (AAG) Cable System,Trans-Pacific,Between Vietnam and Hong Kong,2017-02-18,2017-04-06,47, ,,,
235,235,Glo-1,Africa, ,2017-02-16,2017-02-23,7, ,,Human Activity,Human Activity
236,236,Asia-America Gateway (AAG) Cable System,Trans-Pacific,"Off Vung Tau, Vietnam",2017-01-08,2017-01-26,18, ,,Aging,Aging
237,237,Greenland Connect,Europe, ,2016-12-31,n.a.,n.a., ,,,
238,238,SeaMeWe-3,Europe-Asia,1125 km off Singapore,2016-12-03,2017-01-15,43, ,,,